"","X360","X370","X380","X390","X400","X410","X420","X430","X440","X450","X460","X470","X480","X490","X500","X510","X520","X530","X540","X550","X560","X570","X580","X590","X600","X610","X620","X630","X640","X650","X660","X670","X680","X690","X700","X710"
"Worcester Union",0,0,4,8,8,9,32,42,43,43,27,24,39,59,51,51,52,52,36,31,31,31,31,20,10,10,10,10,10,9,10,10,10,10,10,52
"Grafton",0,0,5,11,11,11,46,60,61,60,39,35,56,83,83,82,81,82,54,42,42,41,42,27,12,13,13,12,12,12,12,12,12,13,12,57
"Westborough",0,0,7,15,15,15,65,88,88,87,51,45,72,115,123,124,123,124,76,56,57,58,58,37,14,14,15,14,14,14,14,14,14,14,14,65
"Southborough",0,0,9,19,20,20,84,112,113,110,61,54,92,149,153,155,152,155,96,72,73,73,71,45,15,17,17,16,16,15,16,16,16,16,16,74
"Ashland",0,0,10,22,23,22,102,137,137,137,75,68,118,192,192,191,190,192,117,83,83,84,83,51,16,18,18,17,17,17,17,17,17,17,17,77
"Framingham",0,0,13,29,30,30,129,170,171,171,111,102,171,268,243,241,242,253,145,98,98,103,103,62,21,21,21,21,21,21,20,21,21,21,21,98
"West Natick",0,0,18,40,39,39,161,211,210,210,151,143,227,334,279,277,278,326,177,109,110,119,118,72,25,25,26,25,25,25,25,25,25,25,26,123
"Natick Center",0,0,20,44,44,44,165,215,214,216,183,178,270,385,311,310,310,394,209,123,123,126,126,78,27,27,28,27,27,27,27,27,28,27,27,143
"Wellesley Square",0,0,21,47,48,48,167,218,217,218,219,219,302,406,331,332,330,456,241,139,138,138,137,83,29,29,29,29,29,28,28,28,29,29,29,160
"Wellesley Hills",0,0,21,49,50,49,169,220,219,219,237,237,317,419,343,342,341,482,251,144,142,141,141,85,29,29,30,29,29,28,28,29,29,29,29,162
"Wellesley Farms",0,0,22,51,51,50,171,222,222,220,251,255,338,436,361,362,360,513,270,156,155,149,149,89,29,30,30,30,30,29,29,30,30,29,29,166
"Auburndale",0,0,23,53,53,53,173,223,223,222,265,271,349,444,369,370,369,523,280,167,167,149,149,89,30,30,31,30,30,30,29,30,31,30,30,167
"West Newton",0,0,23,53,53,53,173,223,224,223,277,284,360,450,376,377,374,537,294,182,182,151,150,90,31,31,32,31,32,31,30,31,32,31,31,171
"Newtonville",0,0,25,57,57,57,176,228,228,228,295,303,373,460,384,385,383,554,311,200,200,152,151,92,33,33,33,34,33,33,32,33,33,33,32,175
"Yawkey",0,0,25,57,57,57,176,228,228,228,295,303,373,460,384,385,383,554,311,200,200,152,151,92,33,33,33,34,33,33,32,33,33,33,32,175
"Back Bay",0,0,25,57,57,57,176,228,228,228,295,303,373,460,384,385,383,554,311,200,200,152,151,92,33,33,33,34,33,33,32,33,33,33,32,175
