"","X370","X390","X410","X430","X450","X460","X470","X480","X490","X500","X510","X520","X528","X536","X544","X552","X560","X580","X600","X620","X640","X660","X680","X700","X720"
"Worcester Union",4,14,39,82,42,27,24,40,58,52,53,43,42,40,25,25,57,49,31,0,31,0,32,0,44
"Grafton",6,20,55,115,60,39,35,56,84,82,83,67,66,63,33,33,78,65,40,0,40,0,41,0,47
"Westborough",8,27,78,165,86,50,46,72,114,124,123,100,100,94,46,46,107,90,45,0,46,0,47,0,55
"Southborough",10,35,100,212,111,60,55,93,148,155,156,123,124,117,59,57,137,112,52,0,54,0,54,0,61
"Ashland",11,41,122,261,136,75,69,119,189,192,190,152,154,145,67,67,156,128,57,0,58,0,58,0,63
"Framingham",14,54,154,327,170,108,103,173,266,242,242,193,202,190,80,81,191,158,64,10,65,10,66,10,80
"West Natick",18,73,195,405,208,152,144,228,333,277,278,222,252,246,89,89,218,182,72,20,73,19,74,19,100
"Natick Center",20,83,203,414,213,182,177,271,382,309,311,250,297,298,101,99,239,196,76,24,77,23,78,23,119
"Wellesley Square",21,89,208,420,216,220,218,305,405,333,333,268,338,349,113,111,263,210,79,27,80,26,80,25,134
"Wellesley Hills",22,93,213,425,217,238,237,322,417,344,345,277,354,368,118,114,272,217,79,27,80,26,80,25,136
"Wellesley Farms",23,96,215,427,218,254,255,340,435,363,361,291,376,392,127,124,292,228,80,28,81,27,83,27,140
"Auburndale",23,99,219,430,220,269,271,352,443,371,372,298,384,400,135,133,304,229,81,29,82,28,83,28,140
"West Newton",24,100,220,431,220,280,283,363,450,378,377,304,394,411,147,146,319,232,83,32,85,31,86,30,143
"Newtonville",25,108,225,439,225,296,301,378,460,388,388,312,406,425,162,161,339,235,86,35,89,35,89,34,145
"Yawkey",25,108,225,439,225,296,301,378,460,388,388,312,406,425,162,161,339,235,86,35,89,35,89,34,145
"Back Bay",25,108,225,439,225,296,301,378,460,388,388,312,406,425,162,161,339,235,86,35,89,35,89,34,145
