"","X300","X310","X320","X330","X340","X350","X360","X370","X380","X390","X400","X410","X420","X430","X440","X450","X460","X470","X480","X490","X500","X510","X520","X530","X540","X550","X560","X570","X590","X600","X620","X630","X650","X660","X680","X690","X710","X720","X740","X750","X770","X780","X800","X810","X830","X840","X860","X870"
"Worcester Union",0,0,0,0,0,0,0,23,0,43,0,49,0,68,0,74,0,76,0,110,0,127,0,101,0,76,0,113,0,90,0,27,0,27,0,28,0,23,0,22,0,23,0,24,0,25,0,3
"Grafton",0,0,0,0,0,0,0,32,0,60,0,72,0,126,0,132,0,133,0,183,0,208,0,132,0,98,0,145,0,116,0,36,0,34,0,35,0,26,0,26,0,26,0,27,0,28,0,4
"Westborough",0,0,0,0,0,0,0,39,0,77,0,96,0,173,0,191,0,211,0,312,0,366,0,183,0,130,0,191,0,153,0,45,0,44,0,44,0,30,0,28,0,28,0,32,0,32,0,4
"Southborough",0,0,0,0,0,0,0,49,0,97,0,117,0,212,0,239,0,274,0,398,0,466,0,205,0,142,0,204,0,165,0,52,0,51,0,52,0,32,0,30,0,30,0,35,0,35,0,5
"Ashland",0,0,0,0,0,0,0,57,0,139,0,165,0,276,0,304,0,339,0,513,0,612,0,304,0,234,0,284,0,215,0,60,0,59,0,59,0,36,0,33,0,33,0,37,0,37,0,5
"Framingham",0,0,0,0,0,0,0,62,11,148,14,178,25,308,40,330,34,371,52,590,82,686,120,355,27,253,26,319,18,245,9,66,6,67,6,67,5,40,3,37,3,36,3,44,6,46,6,6
"West Natick",0,0,0,0,0,0,0,73,32,178,46,201,53,369,101,353,67,407,89,637,164,767,179,386,50,275,49,351,33,269,14,72,9,73,9,73,9,44,5,39,5,38,5,47,8,49,8,7
"Natick Center",0,0,0,0,0,0,4,0,51,0,74,0,62,0,129,0,112,0,162,0,253,0,344,0,82,0,92,0,62,0,23,0,17,0,17,0,14,0,8,0,8,0,8,0,11,0,9,0
"Wellesley Square",0,0,0,0,0,0,5,0,56,0,82,0,80,0,158,0,150,0,214,0,314,0,451,0,109,0,133,0,109,0,34,0,25,0,26,0,21,0,14,0,14,0,14,0,17,0,12,0
"Wellesley Hills",0,0,0,0,0,0,7,0,62,0,89,0,92,0,175,0,172,0,243,0,349,0,512,0,120,0,149,0,125,0,38,0,30,0,30,0,28,0,20,0,20,0,18,0,19,0,13,0
"Wellesley Farms",0,0,0,0,0,0,7,0,62,0,93,0,108,0,202,0,212,0,282,0,385,0,576,0,130,0,161,0,134,0,42,0,32,0,32,0,28,0,20,0,20,0,18,0,19,0,13,0
"Auburndale",0,0,0,0,0,0,7,0,63,0,94,0,113,0,218,0,236,0,307,0,410,0,601,0,154,0,184,0,140,0,45,0,35,0,36,0,30,0,20,0,21,0,19,0,20,0,14,0
"West Newton",0,0,0,0,0,0,7,0,63,0,97,0,117,0,231,0,260,0,340,0,449,0,631,0,184,0,214,0,157,0,46,0,36,0,37,0,31,0,22,0,22,0,20,0,20,0,14,0
"Newtonville",0,0,0,0,0,0,9,0,68,0,104,0,131,0,252,0,292,0,397,0,518,0,682,0,231,0,262,0,172,0,53,0,42,0,43,0,34,0,22,0,22,0,22,0,24,0,15,0
"Boston Landing",0,0,0,0,0,0,9,0,68,0,106,0,143,0,271,0,319,0,432,0,561,0,806,0,254,0,290,0,190,0,56,0,45,0,43,0,34,0,22,0,22,0,22,0,24,0,15,0
"Yawkey",0,0,0,0,0,0,9,73,68,178,106,201,143,369,271,353,319,407,432,637,561,767,806,386,254,275,290,351,190,269,56,72,45,73,43,73,34,44,22,39,22,38,22,47,24,49,15,7
"Back Bay",0,0,0,0,0,0,9,73,68,178,106,201,143,369,271,353,319,407,432,637,561,767,806,386,254,275,290,351,190,269,56,72,45,73,43,73,34,44,22,39,22,38,22,47,24,49,15,7
