km,departing station,V800,V802,T900,V804,T902,V806,V842,V808,T904,V810,V812,T906,V814,T908,V816,T910,V818,V820,T912
70.1,Providence,35,70,,106,,229,,496,,150,246,,196,,142,,85,72,
63.6,Pawtucket,,,,,,,,,,,,,,,,,,,
59.7,South Attleboro,98,88,,123,,184,,251,,57,75,,66,,18,,47,21,
51.4,Attleboro,84,94,,136,,216,227,228,,120,162,,76,,12,,7,20,
40.0,Mansfield,124,106,,201,,290,271,274,,129,160,,85,,53,,27,10,
29.2,Sharon,61,49,,177,,211,300,,,146,65,,187,,21,,11,4,
30.4,Stoughton,,,157,,134,,,,313,,,113,,44,,7,,,16
25.1,Canton Center,,,74,,124,,,,147,,,65,,34,,3,,,4
24.1,Canton Jct,65,64,71,,160,,257,,175,,,122,60,46,,7,14,10,6
18.8,Route 128,49,38,63,40,85,82,194,,151,121,170,102,107,81,50,8,42,11,8
15.5,Readville,,,,,,,,,,,,,,,,,,,
13.5,Hyde Park,14,28,29,,76,,53,,0,66,,46,19,,,2,2,0,
10.6,Cummins Hwy,,,,,,,,,,,,,,,,,,,
8.3,Forest Hills,,,,,,,,,,,,,,,,,,,
4,Ruggles,-121,-186,,,,-270,,,-127,,,,-130,,-35,,-60,,
2.1,Back Bay,-155,-20,-153,-350,-306,-325,-401,-395,-424,-252,-200,-173,-199,-68,-142,-9,-80,-47,-10
0,South Station,-254,-220,-241,-433,-373,-617,-901,-854,-424,-537,-678,-275,-467,-137,-119,-18,-95,-101,-24
