km,station,providence.local,providence.diesel,Acela,NE.Regional,providence.express,stoughton.local,stoughton.diesel,stoughton.900,stoughton.902,stoughton.904,stoughton.906,stoughton.908,providence.limited
70.1,Providence,0,0,0,0,0,,,,,,,,0
63.6,Pawtucket,5,,,,,,,,,,,,
59.7,South Attleboro,8,9,,,,,,,,,,,
51.4,Attleboro,13,19,,,,,,,,,,,
40.0,Mansfield,19,29,,,,,,,,,,,15
29.2,Sharon,24,38,,,,,,,,,,,20
30.4,Stoughton,,,,,,0,0,0,0,0,0,0,
25.1,Canton Center,,,,,,4,8,8,8,8,8,8,
24.1,Canton Jct,28,45,,,,6,11,11,11,11,11,11,
18.8,Route 128,31,50,25,31,23,9,16,16,17,17,16,16,26
15.5,Readville,34,,,,,12,,,,,,,
13.5,Hyde Park,36,55,,,,14,21,23,23,,22,,
10.6,Cummins Hwy,38,,,,,17,,,,,,,
8.3,Forest Hills,42,,,,,20,,,,,,,
4,Ruggles,45,64,,,32,23,30,,,31,,,35
2.1,Back Bay,47,68,35,42,34,25,34,32,32,36,32,28,37
0,South Station,49,74,40,48,36,27,40,38,38,42,38,34,38
